id,property_id,title,description,price,property_type,city,beds,baths,area_sqft,image,featured,location,property_address,bedrooms,bathrooms,sqm,type,contact_email,contact_messenger,contact_whatsapp,source,swimming_pool,gym_access,living_room,dining_room,additional_features,lot_size,is_featured,is_exclusive,status,user_id,created_at,updated_at,deleted_at
1,1,Luxury Villa,A beautiful luxury villa with ocean view,50000000,villa,Batangas,5,4,4000,uploads/properties/property10.jpg,1,"Nasugbu, Batangas","123 Tali Beach Drive, Nasugbu, Batangas",5,4,372,house_and_lot,luxuryvilla@example.com,https://m.me/luxuryvilla,6.39E+11,admin,1,1,1,1,"Private beach access, Home theater",1000,1,1,for_sale,1,NULL,NULL,
2,2,Downtown Apartment,Modern apartment in the heart of the city,25000000,apartment,Makati,2,2,1200,uploads/properties/property11.jpg,0,"Makati, Metro Manila","456 Ayala Avenue, Makati City, 1223 Metro Manila",2,2,111,condominium,downtownapt@example.com,https://m.me/downtownapt,6.39E+11,admin,0,1,1,1,"Doorman, Rooftop terrace",NULL,0,0,for_sale,1,NULL,NULL,
3,3,Suburban Home,Spacious family home in a quiet neighborhood,37500000,house,Quezon City,4,3,2500,uploads/properties/property12.jpg,1,"Quezon City, Metro Manila","789 Katipunan Avenue, Quezon City, 1108 Metro Manila",4,3,232,house_and_lot,suburbanhome@example.com,https://m.me/suburbanhome,6.39E+11,admin,1,0,1,1,"Finished basement, Large backyard",800,1,0,for_sale,2,NULL,NULL,
4,4,Luxury Villa,A beautiful luxury villa with ocean view,50000000,villa,Makati City,5,4,4000,uploads/uploads/property10.jpg,1,0,"Metro Manila, Philippines",5,4,372,house_and_lot,luxuryvilla@example.com,https://m.me/luxuryvilla,1234567890,admin,0,1,1,1,"Private beach access, Home theater",300,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
5,5,Downtown Apartment,Modern apartment in the heart of the city,25000000,apartment,Quezon City,2,2,1200,uploads/uploads/property11.jpg,0,0,"Metro Manila, Philippines",2,2,111,condominium,downtownapt@example.com,https://m.me/downtownapt,1234567891,lister,1,1,1,1,"Doorman, Rooftop terrace",234,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
6,6,Suburban Home,Spacious family home in a quiet neighborhood,37500000,house,Cebu City,4,3,2500,uploads/uploads/property1.jpg,1,0,"Cebu, Philippines",4,3,232,house_and_lot,suburbanhome@example.com,https://m.me/suburbanhome,1234567892,seller,0,1,1,1,"Finished basement, Large backyard",456,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
7,7,Ayala Greenfield Estates,"Experience luxurious living in this spacious 670 sqm residential lot located in the prestigious Ayala Greenfield Estates. Developed by Ayala Land Premier, this property offers a serene and exclusive environment, perfect for building your dream home.",33914042,lot,Calamba,0,0,4263,uploads/properties/lot1.jpg,0,0,"Laguna, Philippines",3,3,396,lot,contact1@example.com,https://m.me/property1,6.30948E+11,admin,0,1,1,1,"Private beach access, Home theater",600,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
8,8,Beachlots near Manila for Sale,"Indulge in a tropical paradise with these beachlots near Manila, situated in the stunning Playa Laiya, San Juan, Batangas. With proximity to the capital city, these lots provide a perfect escape from the urban hustle while allowing you to enjoy the beautiful beaches and coastal lifestyle.",24425584,lot,San Juan,0,0,2497,uploads/properties/lot2.jpg,0,0,"Laguna, Philippines",3,2,232,lot,contact2@example.com,https://m.me/property2,6.30929E+11,lister,0,1,1,1,"Doorman, Rooftop terrace",400,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
9,9,Club Laiya beach lot FOR SALE,"Own a piece of paradise with this beach lot for sale in Club Laiya. This property offers a prime location within a exclusive beach community, providing access to top-notch amenities and breathtaking views of the pristine coastline.",48615235,lot,San Juan,0,0,2433,uploads/properties/lot3.jpg,0,0,"Laguna, Philippines",2,2,226,lot,contact3@example.com,https://m.me/property3,6.30995E+11,seller,0,1,1,1,"Finished basement, Large backyard",324,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
10,10,Futura Homes San Pedro Lot Only for Sale,"Discover the opportunity to build your ideal home in Futura Homes San Pedro, a development by Filinvest. This lot-only property is located in the thriving city of San Pedro, Laguna, offering a convenient and accessible location for your future residence.",12258546,lot,San Pedro,0,0,3326,uploads/properties/lot4.jpg,0,0,"Laguna, Philippines",5,1,309,lot,contact4@example.com,https://m.me/property4,6.30964E+11,admin,0,1,1,1,"Private beach access, Home theater",400,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
11,11,Lot for Sale in Golden Meadow,"Secure your future home in the peaceful community of Golden Meadow, located in Biñan, Laguna. This lot for sale presents a great opportunity to construct your dream house in a tranquil and family-friendly neighborhood.",40396346,lot,Biñan,0,0,1066,uploads/properties/lot5.jpg,0,0,"Laguna, Philippines",4,3,99,lot,contact5@example.com,https://m.me/property5,6.30906E+11,seller,0,1,1,1,"Doorman, Rooftop terrace",245,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
12,12,Luxury Leisure Property in Batangas City for Sale,"Indulge in a life of luxury with this leisure property in Batangas City. Available as both residential lots and condominiums, this development offers a sophisticated lifestyle surrounded by modern amenities and stunning natural scenery.",48599740,lot,Batangas City,0,0,2745,uploads/properties/lot6.jpg,0,0,"Batangas, Philippines",2,2,255,lot,contact6@example.com,https://m.me/property6,6.30918E+11,lister,0,1,1,1,"Finished basement, Large backyard",300,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
13,13,Palawan Beach Lot,"Experience the ultimate tropical getaway with this 405 sqm beach lot for sale in Palawan, located in the picturesque Sunset Shore development. Lot 17 offers a prime beachfront location, allowing you to bask in the stunning sunsets and enjoy the crystal-clear waters of Palawan.",42975684,lot,Coron,0,0,1604,uploads/properties/lot7.jpg,0,0,"Palawan, Philippines",2,3,149,lot,contact7@example.com,https://m.me/property7,6.30988E+11,seller,0,1,1,1,"Private beach access, Home theater",245,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
14,14,Residential Lot for sale at Antel Grand Village,"Elevate your living standards with this residential lot for sale in Antel Grand Village, specifically in the Grand Cedarcrest area. This exclusive community offers a serene and secure environment, perfect for families seeking a high-quality lifestyle.",29391889,lot,General Trias,0,0,2454,uploads/properties/lot8.jpg,0,0,"Cavite, Philippines",2,2,228,lot,contact8@example.com,https://m.me/property8,6.30976E+11,lister,1,1,1,1,"Doorman, Rooftop terrace",124,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
15,15,Residential Lot for Sale at Metrogate Tagaytay Estates,"Escape the city life and find solace in this residential lot for sale at Metrogate Tagaytay Estates in Cavite. Surrounded by the cool breeze and lush greenery of Tagaytay, this property offers a refreshing and peaceful atmosphere for your future home.",48085796,lot,Tagaytay,0,0,2336,uploads/properties/lot9.jpg,0,0,"Cavite, Philippines",4,1,217,lot,contact9@example.com,https://m.me/property9,6.3093E+11,admin,1,1,1,1,"Finished basement, Large backyard",,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
16,16,Residential Lot For Sale in Alta Vista Tagaytay,"Embrace the beauty of Tagaytay with this residential lot for sale in Alta Vista Tagaytay, located in Silang Junction South. This premium development offers breathtaking views of the Taal Lake and a serene ambiance, making it an ideal location for your dream vacation home.",29387905,lot,Tagaytay,0,0,5199,uploads/properties/lot10.jpg,0,0,Cavite Philippines,2,3,483,lot,contact10@example.com,https://m.me/property10,6.30909E+11,seller,1,1,1,1,"Private beach access, Home theater",,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
17,17,Residential Lot For Sale by AYALA LAND,"Invest in a property developed by the trusted name of Ayala Land. This residential lot for sale is situated in Lipa, Batangas, offering a strategic location for those seeking a balance between urban convenience and a laid-back lifestyle.",14750082,lot,Lipa,0,0,1184,uploads/properties/lot11.jpg,0,0,"Batangas, Philippines",3,2,110,lot,contact11@example.com,https://m.me/property11,6.30908E+11,lister,1,1,1,1,"Doorman, Rooftop terrace",,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
18,18,RIDGEWOOD HEIGHTS Lot for sale,"Elevate your living experience with this lot for sale in Ridgewood Heights. This exclusive community offers a blend of modern amenities and natural beauty, providing a serene and comfortable environment for you and your family to call home.",35714047,lot,Tagaytay,0,0,2325,uploads/properties/lot12.jpg,0,0,"Cavite, Philippines",3,1,216,lot,contact12@example.com,https://m.me/property12,6.30918E+11,lister,1,1,1,1,"Finished basement, Large backyard",,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
19,19,Well-Maintained Elegant House,Discover your dream home in this picturesque neighborhood featuring spacious lots and beautifully crafted houses with classic architectural designs.,14448811,house_and_lot,Mandaluyong,1,3,3380,uploads/properties/houseandlot1.png,0,0,"Mandaluyong, Philippines",1,3,314,house_and_lot,contact1@example.com,https://m.me/property1,6.3095E+11,lister,0,1,1,1,"Private beach access, Home theater",,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
20,20,Beautiful and Luxurious Houses,"Experience the best of rural living with these expansive lots and custom-built homes, each offering stunning sunset views over the rolling hills.",19670029,house_and_lot,Taguig,2,2,5307,uploads/properties/houseandlot2.png,0,0,"Taguig, Philippines",2,2,493,house_and_lot,contact2@example.com,https://m.me/property2,6.30951E+11,seller,0,1,1,1,"Doorman, Rooftop terrace",,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
21,21,Modern Asian 2Storey Brand New House and Lot,"Find the perfect balance of comfort and style in this charming community of single-family homes, nestled among tree-lined streets and lush parks.",44777589,house_and_lot,Angeles City,2,2,4790,uploads/properties/houseandlot3.png,1,0,"Pampanga, Philippines",2,2,445,house_and_lot,contact3@example.com,https://m.me/property3,6.30988E+11,admin,0,1,1,1,"Finished basement, Large backyard",,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
22,22,Furnished House and Lot,"Embrace the quaint charm of cottage living with these cozy homes situated along a peaceful creek, each with its own private garden.",37306752,house_and_lot,Davao,2,2,4682,uploads/properties/houseandlot4.jpg,0,0,"Davao, Philippines",2,2,435,house_and_lot,contact4@example.com,https://m.me/property4,6.30987E+11,admin,0,1,1,1,"Private beach access, Home theater",,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
23,23,Fairway Villa,"Tee off right from your backyard in this golf course community, featuring luxurious villas and direct access to the championship course.",25247542,house_and_lot,Pasay,1,2,3229,uploads/properties/houseandlot5.png,0,0,"Pasay, Philippines",1,2,300,house_and_lot,contact5@example.com,https://m.me/property5,6.30976E+11,lister,0,1,1,1,"Doorman, Rooftop terrace",,0,0,for_sale,0,10/20/2024 8:06,10/20/2024 8:06,
